id,title,url,news_site,published_at,summary,image_url,featured,events,launches,updated_at,author_name,author_bluesky,author_instagram,author_linkedin,author_mastodon,author_x,author_youtube
35038,"After record-breaking 2025, Rocket Lab prepares for Neutron’s debut in 2026",https://www.nasaspaceflight.com/2025/12/rocket-lab-2025-overview/,NASASpaceflight,2025-12-29T23:42:47Z,"Rocket Lab had its most successful year to date in 2025, with its Electron rocket…
The post After record-breaking 2025, Rocket Lab prepares for Neutron’s debut in 2026 appeared first on NASASpaceFlight.com.",https://www.nasaspaceflight.com/wp-content/uploads/2025/12/IMG_2364.jpg,false,,,2025-12-29T23:50:14.329771Z,Eleanor Day & Haygen Warren,,,,,,
35035,HyPrSpace looks for applications beyond launch for its hybrid propulsion technology,https://spacenews.com/hyprspace-looks-for-applications-beyond-launch-for-its-hybrid-propulsion-technology/,SpaceNews,2025-12-29T22:38:50Z,"
A French launch startup that recently closed a funding round is seeking defense applications for its hybrid propulsion technology.
The post HyPrSpace looks for applications beyond launch for its hybrid propulsion technology appeared first on SpaceNews.",https://i0.wp.com/spacenews.com/wp-content/uploads/2025/12/baguetteone.jpeg?fit=1024%2C611&ssl=1,false,,,2025-12-29T22:40:19.149103Z,Jeff Foust,https://bsky.app/profile/jfoust.bsky.social,,https://www.linkedin.com/in/jefffoust,https://mastodon.social/@jfoust,https://x.com/jeff_foust,
35036,Terra: The End of An Era,https://science.nasa.gov/science-research/earth-science/terra-the-end-of-an-era/,NASA,2025-12-29T22:20:01Z,"Introduction Launched into the night sky nearly 26 years ago, on December 19, 1999, from Vandenberg Air Force Base (now Space Force Base), Terra was NASA’s first Earth Observing System (EOS) Flagship mission to study Earth’s land surface from space via a coordinated series of polar-orbiting and low-inclination satellites that produce long-term global observations useful […]",https://science.nasa.gov/wp-content/uploads/2024/05/eo-feature-article-banner.png,false,,,2025-12-29T23:10:06.717174Z,NASA,,,,,,
35037,The Final Earth Observer Editor’s Corner: October–December 2025,https://science.nasa.gov/science-research/earth-science/the-final-earth-observer-editors-corner-october-december-2025/,NASA,2025-12-29T22:08:25Z,"It is with a heavy heart that I announce that NASA Earth Science Communications has directed The Earth Observer to conduct an orderly shutdown of the publication. No new content will be published after Dec. 31, 2025. While the sunset of The Earth Observer is bittersweet for our team, the good news is that all […]",https://science.nasa.gov/wp-content/uploads/2024/05/eo-editors-corner-banner.png,false,,,2025-12-29T23:10:06.764896Z,NASA,,,,,,
35034,The State of CERES: Updates and Highlights,https://science.nasa.gov/science-research/earth-science/the-state-of-ceres-updates-and-highlights/,NASA,2025-12-29T22:02:37Z,"Introduction The Clouds and the Earth’s Radiant Energy System (CERES) was initially designed in the late-1980s and early-1990s as a facility instrument for NASA’s Earth Observing System (EOS). Since its inception, NASA’s Langley Research Center (LaRC) has led this effort. CERES has a long history with seven different instruments flying on five different missions since […]",https://science.nasa.gov/wp-content/uploads/2024/05/eo-feature-article-banner.png,false,,,2025-12-29T22:10:06.587016Z,NASA,,,,,,
35033,2025 Space Station Science Snapshots,https://www.nasa.gov/image-article/2025-space-station-science-snapshots/,NASA,2025-12-29T19:00:00Z,"2025 marks another year pushing the boundaries of scientific research aboard the International Space Station. This past year, over 750 investigations were conducted aboard the space station, supported by crewed missions and resupply vehicles delivering essential cargo and experiments to the orbiting laboratory. This year’s research included testing DNA’s ability to store data, producing vital […]",https://images-assets.nasa.gov/image/iss073e0548846/iss073e0548846~large.jpg,false,,,2025-12-29T19:00:19.396129Z,NASA,,,,,,
35032,NASA to Preview US Spacewalks at Space Station in January,https://www.nasa.gov/news-release/nasa-to-preview-us-spacewalks-at-space-station-in-january/,NASA,2025-12-29T17:19:11Z,"NASA astronauts will conduct a pair of spacewalks in January outside of the International Space Station to prepare for the installation of a roll-out solar array and complete other tasks. Experts from NASA will preview the spacewalks in a briefing at 2 p.m. EST Tuesday, Jan. 6, at NASA’s Johnson Space Center in Houston. Watch […]",https://www.nasa.gov/wp-content/uploads/2025/12/spacewalk.jpg,false,,,2025-12-29T17:20:06.187181Z,NASA,,,,,,
35031,A Galactic Embrace,https://www.nasa.gov/image-article/a-galactic-embrace/,NASA,2025-12-29T16:43:24Z,"Mid-infrared data from NASA’s James Webb Space Telescope (in white, gray, and red) and X-ray data from NASA’s Chandra X-ray Observatory (in blue) come together in this photo of colliding spiral galaxies released on Dec. 1, 2025. The pair grazed one another millions of years ago; billions of years in the future, they will merge […]",https://www.nasa.gov/wp-content/uploads/2025/12/54957843876-a1382275cd-o.jpg,false,,,2025-12-29T16:50:09.334623Z,NASA,,,,,,
35030,Proposal to dismantle NCAR would have space science impacts,https://spacenews.com/proposal-to-dismantle-ncar-would-have-space-science-impacts/,SpaceNews,2025-12-29T15:05:24Z,"
A proposal by the Trump administration to dismantle a leading atmospheric science center would also have implications for space science.
The post Proposal to dismantle NCAR would have space science impacts appeared first on SpaceNews.",https://i0.wp.com/spacenews.com/wp-content/uploads/2025/12/ncar.jpeg?fit=926%2C617&ssl=1,false,,,2025-12-29T15:10:21.738233Z,Jeff Foust,https://bsky.app/profile/jfoust.bsky.social,,https://www.linkedin.com/in/jefffoust,https://mastodon.social/@jfoust,https://x.com/jeff_foust,
35029,I Am Artemis: Jen Madsen and Trey Perryman,https://www.nasa.gov/missions/artemis/i-am-artemis/i-am-artemis-jen-madsen-and-trey-perryman/,NASA,2025-12-29T14:00:00Z,"Listen to this audio excerpt from Jen Madsen and Trey Perryman, leads of the Orion Mission Evaluation Room for the Artemis II mission: During NASA’s Artemis II mission, Jen Madsen and Trey Perryman will be leading a team monitoring the Orion spacecraft as it carries four astronauts around the Moon. The team works in the […]",https://www.nasa.gov/wp-content/uploads/2025/10/9-19-25-mer-trey-jen2.jpg,false,,,2025-12-29T14:01:46.044298Z,NASA,,,,,,
